,HICAT_ID,SSE_LAUNCH [UTC],TARGET_NAME,TARGET_ARRIVAL [UTC],ICMECAT_ID,SC_INSITU,ICME_START_TIME [UTC],ARRIVAL_DIFFERENCE [hrs],SC_HELIODISTANCE [AU],SC_LONG_HEEQ [deg],SC_LAT_HEEQ [deg],SOURCE_TYPE,SOURCE_LONG_HEEQ [deg],SOURCE_LAT_HEEQ [deg],FLARE_CLASS,FLARE_START_TIME [UTC],FLARE_END_TIME [UTC],FLARE_PEAK_TIME [UTC],CME_SSE_LONG_HEEQ [deg],CME_SSE_LAT_HEEQ [deg],CME_SSE_SPEED [kms-1],CME_TARGET_SPEED [kms-1],MO_START_TIME [UTC],MO_END_TIME [UTC],MO_BMEAN [nT],MO_BSTD [nT],MO_BZMEAN [nT],MO_BZMIN [nT],MO_MVA_AXIS_LONG [deg],MO_MVA_AXIS_LAT [deg],MO_MVA_RATIO,GSR_START_TIME [UTC],GSR_START_TIME [UTC],GSR_AXIS_LONG [deg],GSR_AXIS_LAT [deg],GSR_IMPACT [AU],VHTX [kms-1],VHTY [kms-1],VHTZ [kms-1]
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
0,HCME_A__20070521_01,2007-05-21 15:26,MESSENGER,2007-05-25 09:26,ICME_MES_SGOOD_20070524_01,MESSENGER,2007-05-24 22:45,10,0,-55,-1,F,0,0,B2.5,2007-05-21 08:46,2007-05-21 09:20,2007-05-21 09:03,-66,4,306,300,2007-05-24 22:45,2007-05-25 05:54,18,0,1,-9,0,0,1,,,0,0,0,9999,9999,9999
